patent_id,Cluster
273554,0
744743,0
795974,0
1159964,0
6146,0
1103642,0
1047727,0
880324,0
1170899,0
639010,0
377054,0
320026,0
972818,0
1361758,0
802400,0
1363703,0
1355351,0
1187542,0
455104,0
867275,0
928510,0
555628,0
126389,0
912134,0
1159289,0
807595,0
1088481,0
10983,0
622342,0
1125668,0
564371,0
983122,0
1183981,0
1212952,0
872622,0
1126779,0
1209374,0
944327,0
35439,0
583252,0
422232,0
187260,0
373232,0
1141342,0
256146,0
1278337,0
548651,0
1290262,0
571067,0
330235,0
737767,0
567665,0
976171,0
575783,0
790241,0
417396,0
1305547,0
464318,0
279674,0
391729,0
1320731,0
605986,0
1042195,0
614835,0
506245,0
827170,0
1137295,0
685876,0
239556,0
722405,0
1173455,0
885269,0
555129,0
942024,0
1283191,0
766247,0
808193,0
708305,0
984481,0
473837,0
500601,0
849656,0
1234017,0
346469,0
379841,0
1076530,0
639986,0
707022,0
288469,0
545126,0
937342,0
1315007,0
938071,0
1026454,0
410306,0
1053678,0
905562,0
1008922,0
380528,0
871303,0
881709,0
566470,0
1251358,0
825940,0
344569,0
826949,0
507849,0
533417,0
742171,0
399404,0
231729,0
664291,0
1244494,0
650474,0
491432,0
635674,0
753377,0
185121,0
659336,0
1184630,0
560711,0
535566,0
837974,0
605125,0
793153,0
401604,0
866285,0
1342461,0
960667,0
233106,0
34493,0
664791,0
742064,0
890735,0
366117,0
1280800,0
218136,0
844643,0
247940,0
1089650,0
406953,0
589269,0
533087,0
635328,0
578614,0
1362619,0
384388,0
804267,0
376958,0
451088,0
1107041,0
562880,0
649303,0
148534,0
860186,0
749465,0
874859,0
451170,0
670328,0
792761,0
602110,0
279282,0
1109816,0
1044892,0
564697,0
1295303,0
803159,0
208417,0
944936,0
506774,0
339907,0
675730,0
552657,0
1073753,0
641983,0
214881,0
762828,0
920794,0
979428,0
465899,0
540673,0
1062632,0
983685,0
102129,0
796981,0
608401,0
1084624,0
733995,0
1239309,0
1040114,0
353260,0
1293840,0
493231,0
35593,0
994007,0
1189827,0
495898,0
784093,0
1194921,0
698218,0
1233630,0
690976,0
302773,0
322255,0
1242307,0
766838,0
343678,0
680649,0
1087467,0
898615,0
1276628,0
699761,0
367084,0
1334040,0
1366252,0
541714,0
411661,0
269708,0
569098,0
236429,0
632024,0
484487,0
490419,0
667968,0
53174,0
380957,0
1137913,0
257484,0
865841,0
948114,0
109722,0
1222739,0
1211942,0
1337001,0
621832,0
483159,0
14678,0
336556,0
650685,0
1147421,0
441224,0
600142,0
435576,0
1194679,0
960377,0
249113,0
961069,0
626707,0
470409,0
924511,0
602233,0
510229,0
40879,0
1014128,0
113295,0
522175,0
915930,0
736772,0
461127,0
389307,0
305955,0
611444,0
225591,0
637088,0
469235,0
913366,0
1235251,0
1158987,0
1013135,0
745638,0
279269,0
1067945,0
342089,0
529473,0
1038299,0
882609,0
367761,0
759551,0
1214800,0
803161,0
322666,0
998528,0
602100,0
1004467,0
1237112,0
1039193,0
1043343,0
909118,0
1158039,0
200088,0
795066,0
1340289,0
898889,0
272328,0
1337446,0
995866,0
287809,0
945134,0
464711,0
588272,0
1056971,0
438139,0
701421,0
952821,0
114511,0
1199671,0
1186205,0
143820,0
809831,0
777706,0
1114660,0
373072,0
885650,0
409512,0
714949,0
239901,0
813183,0
914927,0
1333368,0
379845,0
753149,0
515477,0
682334,0
949611,0
891498,0
866435,0
243947,0
506872,0
185614,0
1123580,0
1361348,0
368189,0
537537,0
859733,0
857830,0
1302314,0
925907,0
160914,0
558211,0
1347472,0
423370,0
636909,0
629829,0
907129,0
686323,0
376724,0
1221036,0
569245,0
1263205,0
655380,0
237094,0
656284,0
1182795,0
239741,0
621236,0
812167,0
1100040,0
515826,0
808428,0
1326625,0
635398,0
1010592,0
1044018,0
230017,0
372556,0
1207278,0
399291,0
1245427,0
479880,0
1007707,0
580216,0
580342,0
1258304,0
275269,0
1142482,0
598021,0
351677,0
317622,0
690843,0
1139164,0
949163,0
937850,0
763707,0
1049497,0
830695,0
1125322,0
523727,0
680567,0
300604,0
503201,0
644062,0
874428,0
972421,0
529906,0
1256269,0
484070,0
952784,0
709162,0
971672,0
169001,0
1035484,0
720306,0
607518,0
627777,0
129760,0
644704,0
688995,0
561143,0
877217,0
793379,0
397257,0
481564,0
1241836,0
540166,0
218739,0
1292707,0
796130,0
1175408,0
1066460,0
958592,0
504026,0
878212,0
720296,0
1277264,0
713790,0
272827,0
1082989,0
714941,0
377599,0
874174,0
803818,0
522287,0
1109905,0
829551,0
365189,0
792084,0
759976,0
763146,0
239184,0
870312,0
1162362,0
934629,0
221390,0
951186,0
799954,0
963571,0
1289165,0
211253,0
697842,0
284377,0
1320102,0
335691,0
1038222,0
154421,0
752727,0
1146790,0
1034385,0
703945,0
619795,0
532719,0
813114,0
385288,0
607289,0
606914,0
447048,0
1177565,0
406154,0
46227,0
622747,0
863205,0
1217520,0
973333,0
1349639,0
768013,0
727858,0
63070,0
204563,0
927447,0
239769,0
1141587,0
767039,0
1365948,0
1046773,0
1024572,0
775102,0
713411,0
987073,0
862216,0
741217,0
665537,0
727076,0
1113925,0
868344,0
1367187,0
676379,0
731096,0
423338,0
732469,0
780971,0
805656,0
1084566,0
1164430,0
1376863,0
308635,0
982739,0
214837,0
354638,0
799481,0
975313,0
446216,0
315547,0
663848,0
1061657,0
1032818,0
688631,0
706906,0
741343,0
567081,0
645298,0
1282679,0
47688,0
281452,0
811908,0
297402,0
785809,0
902960,0
1232810,0
137503,0
1113397,0
1375171,0
966550,0
1246966,0
1076368,0
1092944,0
826606,0
908247,0
1365289,0
225900,0
1091709,0
633809,0
969663,0
906494,0
363563,0
279466,0
187714,0
1158454,0
254010,0
1062859,0
401504,0
1310474,0
890416,0
528492,0
299200,0
1218181,0
1197387,0
325878,0
1201096,0
338653,0
105109,0
